Team,Opponent,Matches,Wins,Draws,Losses
South Africa,Australia,21,11,4,6
South Africa,Zimbabwe,14,9,2,3
South Africa,Angola,12,8,4,0
South Africa,Egypt,13,7,1,5
South Africa,Zambia,15,7,3,5
South Africa,Ghana,15,6,4,5
South Africa,Mozambique,7,6,1,0
South Africa,Malawi,6,6,0,0
South Africa,Lesotho,9,6,2,1
South Africa,Burkina Faso,9,5,3,1
South Africa,New Zealand,6,5,1,0
South Africa,Namibia,7,4,3,0
South Africa,Morocco,9,4,3,2
South Africa,Congo,9,4,4,1
South Africa,DR Congo,6,4,1,1
South Africa,Uganda,6,4,2,0
South Africa,Botswana,5,4,1,0
South Africa,Cameroon,10,3,5,2
South Africa,Tunisia,7,3,1,3
South Africa,Benin,3,3,0,0
South Africa,Cape Verde,6,3,1,2
South Africa,Kenya,4,3,0,1
South Africa,Sudan,4,3,0,1
South Africa,Madagascar,3,3,0,0
South Africa,Nigeria,16,2,6,8
South Africa,Senegal,10,2,3,5
South Africa,Ivory Coast,8,2,5,1
South Africa,Mali,6,2,1,3
South Africa,Gabon,2,2,0,0
South Africa,Costa Rica,2,2,0,0
South Africa,Liberia,4,2,2,0
South Africa,Central Africa,2,2,0,0
South Africa,Equat. Guinea,3,2,1,0
South Africa,Eswatini,3,2,1,0
South Africa,Ethiopia,5,2,1,2
South Africa,Burundi,2,2,0,0
South Africa,Chad,2,2,0,0
South Africa,Mauritius,3,2,1,0
South Africa,Tanzania,3,2,1,0
South Africa,São Tomé and P.,2,2,0,0
South Africa,Zaire,2,2,0,0
South Africa,South Sudan,2,2,0,0
South Africa,Spain,4,1,0,3
South Africa,France,5,1,1,3
South Africa,Scotland,2,1,0,1
South Africa,Turkiye,1,1,0,0
South Africa,Denmark,3,1,2,0
South Africa,Argentina,3,1,1,1
South Africa,Norway,3,1,0,2
South Africa,Poland,2,1,0,1
South Africa,Canada,1,1,0,0
South Africa,Sweden,3,1,1,1
South Africa,Seychelles,2,1,1,0
South Africa,Paraguay,5,1,3,1
South Africa,Malta,1,1,0,0
South Africa,Slovenia,1,1,0,0
South Africa,Algeria,6,1,4,1
South Africa,Jamaica,5,1,4,0
South Africa,Guinea-Bissau,1,1,0,0
South Africa,Saudi Arabia,4,1,2,1
South Africa,Colombia,1,1,0,0
South Africa,Rwanda,2,1,0,1
South Africa,Guinea,4,1,1,2
South Africa,Israel,1,1,0,0
South Africa,Thailand,1,1,0,0
South Africa,The Gambia,2,1,1,0
South Africa,Sierra Leone,5,1,3,1
South Africa,Mexico,4,1,1,2
South Africa,Libya,2,1,1,0
South Africa,Trinidad,2,1,0,1
South Africa,Guatemala,2,1,1,0
South Africa,Niger,3,1,1,1
South Africa,Rhodesia,2,1,1,0
South Africa,Germany,4,0,1,3
South Africa,England,2,0,0,2
South Africa,Portugal,2,0,0,2
South Africa,Italy,2,0,0,2
South Africa,Netherlands,2,0,0,2
South Africa,Bulgaria,1,0,1,0
South Africa,Japan,1,0,1,0
South Africa,Serbia,1,0,0,1
South Africa,Brazil,5,0,0,5
South Africa,Czechia,1,0,1,0
South Africa,Bosnia,1,0,0,1
South Africa,Uruguay,3,0,1,2
South Africa,USA,3,0,0,3
South Africa,Ireland,2,0,0,2
South Africa,Iraq,1,0,1,0
South Africa,Iceland,3,0,1,2
South Africa,Panama,1,0,0,1
South Africa,Honduras,1,0,1,0
South Africa,Georgia,1,0,0,1
South Africa,Chile,1,0,0,1
South Africa,UAE,1,0,0,1
South Africa,Bolivia,1,0,0,1
South Africa,Ecuador,1,0,1,0
South Africa,Andorra,1,0,1,0
South Africa,Mauritania,2,0,1,1
South Africa,North Korea,1,0,1,0
Albania,Andorra,9,7,1,1
Albania,Malta,8,5,2,1
Albania,Moldova,7,5,2,0
Albania,Greece,13,4,3,6
Albania,Turkiye,12,4,2,6
Albania,Georgia,17,4,4,9
Albania,Liechtenstein,4,4,0,0
Albania,Armenia,6,4,1,1
Albania,Azerbaijan,6,4,1,1
Albania,San Marino,4,4,0,0
Albania,Bulgaria,12,3,4,5
Albania,Romania,17,3,3,11
Albania,Belarus,7,3,2,2
Albania,Iceland,9,3,2,4
Albania,Luxembourg,7,3,1,3
Albania,Kazakhstan,4,3,1,0
Albania,Serbia,4,2,1,1
Albania,Poland,15,2,3,10
Albania,Finland,7,2,1,4
Albania,Hungary,8,2,1,5
Albania,Cyprus,6,2,2,2
Albania,Lithuania,6,2,1,3
Albania,Macedonia,10,2,4,4
Albania,Israel,6,2,0,4
Albania,N. Ireland,9,2,2,5
Albania,Montenegro,2,2,0,0
Albania,Qatar,3,2,0,1
Albania,ČSR,5,2,0,3
Albania,Portugal,7,1,1,5
Albania,France,9,1,1,7
Albania,Belgium,2,1,0,1
Albania,Denmark,10,1,3,6
Albania,Norway,5,1,2,2
Albania,Czechia,5,1,2,2
Albania,Bosnia,5,1,2,2
Albania,Russia,2,1,0,1
Albania,Latvia,7,1,6,0
Albania,Sweden,6,1,1,4
Albania,Uzbekistan,1,1,0,0
Albania,Iran,1,1,0,0
Albania,Slovenia,7,1,2,4
Albania,Algeria,1,1,0,0
Albania,Ukraine,8,1,1,6
Albania,Wales,4,1,2,1
Albania,Estonia,4,1,3,0
Albania,Vietnam,1,1,0,0
Albania,Faroe Islands,2,1,1,0
Albania,Jordan,2,1,1,0
Albania,Gibraltar,1,1,0,0
Albania,Kosovo,2,1,0,1
Albania,Germany,14,0,1,13
Albania,England,8,0,0,8
Albania,Spain,9,0,0,9
Albania,Italy,5,0,0,5
Albania,Netherlands,4,0,0,4
Albania,Scotland,2,0,0,2
Albania,Austria,7,0,0,7
Albania,Switzerland,7,0,1,6
Albania,Cameroon,1,0,1,0
Albania,Argentina,1,0,0,1
Albania,Ireland,4,0,1,3
Albania,Croatia,1,0,1,0
Albania,Morocco,1,0,1,0
Albania,Chile,1,0,0,1
Albania,Cuba,1,0,1,0
Albania,China,1,0,1,0
Albania,Mexico,1,0,0,1
Albania,Bahrain,1,0,0,1
Albania,East Germany,3,0,1,2
Albania,Yugoslavia,5,0,1,4
Albania,Algeria U23,1,0,1,0
Albania,Romania B,1,0,0,1
Germany,Switzerland,54,36,9,9
Germany,Austria,41,25,6,10
Germany,Belgium,26,20,1,5
Germany,Netherlands,48,18,18,12
Germany,Bulgaria,21,16,2,3
Germany,Denmark,29,16,5,8
Germany,Finland,23,16,6,1
Germany,Sweden,37,16,8,13
Germany,England,38,15,7,16
Germany,Norway,22,15,5,2
Germany,Hungary,40,15,13,12
Germany,N. Ireland,21,15,4,2
Germany,Turkiye,22,14,4,4
Germany,Luxembourg,15,14,0,1
Germany,Yugoslavia,25,14,4,7
Germany,Poland,22,13,7,2
Germany,Albania,14,13,1,0
Germany,France,35,12,7,16
Germany,Portugal,20,11,5,4
Germany,Italy,39,11,13,15
Germany,Romania,15,10,3,2
Germany,ČSR,18,10,4,4
Germany,Spain,27,9,9,9
Germany,Scotland,18,9,5,4
Germany,Slovakia,13,9,0,4
Germany,Ireland,20,9,5,6
Germany,Wales,17,9,6,2
Germany,CIS,13,9,1,3
Germany,Argentina,23,8,5,10
Germany,Uruguay,11,8,2,1
Germany,USA,12,8,0,4
Germany,Malta,9,8,1,0
Germany,Greece,10,7,3,0
Germany,Czechia,9,7,0,2
Germany,Russia,7,6,1,0
Germany,Chile,9,6,1,2
Germany,Liechtenstein,6,6,0,0
Germany,Mexico,13,6,5,2
Germany,Azerbaijan,6,6,0,0
Germany,Brazil,23,5,5,13
Germany,Croatia,8,5,1,2
Germany,Iceland,6,5,1,0
Germany,Cyprus,6,5,1,0
Germany,Georgia,5,5,0,0
Germany,Ukraine,10,5,5,0
Germany,Israel,5,5,0,0
Germany,Estonia,5,5,0,0
Germany,Armenia,5,5,0,0
Germany,Australia,6,4,1,1
Germany,Morocco,4,4,0,0
Germany,Moldova,4,4,0,0
Germany,Kazakhstan,4,4,0,0
Germany,Faroe Islands,4,4,0,0
Germany,San Marino,4,4,0,0
Germany,Cameroon,4,3,1,0
Germany,Bosnia,4,3,1,0
Germany,Latvia,4,3,1,0
Germany,Peru,3,3,0,0
Germany,South Africa,4,3,1,0
Germany,Saudi Arabia,3,3,0,0
Germany,UAE,3,3,0,0
Germany,Ghana,3,2,1,0
Germany,Belarus,3,2,1,0
Germany,Canada,2,2,0,0
Germany,Iran,2,2,0,0
Germany,South Korea,4,2,0,2
Germany,Colombia,5,2,2,1
Germany,Ecuador,2,2,0,0
Germany,Costa Rica,2,2,0,0
Germany,Oman,2,2,0,0
Germany,Saar,2,2,0,0
Germany,Gibraltar,2,2,0,0
Germany,Kuwait,1,1,0,0
Germany,Japan,4,1,1,2
Germany,Serbia,3,1,1,1
Germany,Nigeria,1,1,0,0
Germany,Paraguay,2,1,1,0
Germany,Slovenia,1,1,0,0
Germany,Algeria,3,1,0,2
Germany,Tunisia,3,1,2,0
Germany,Lithuania,2,1,1,0
Germany,North Macedonia,2,1,0,1
Germany,Bolivia,1,1,0,0
Germany,China,2,1,1,0
Germany,Thailand,1,1,0,0
Germany,New Zealand,1,1,0,0
Germany,Serbia-Mont.,1,1,0,0
Germany,Ivory Coast,1,0,1,0
Germany,United Arab Rep.,1,0,0,1
Germany,East Germany,1,0,0,1
Germany,England Ama.,1,0,0,1
Saudi Arabia,Yemen,21,19,2,0
Saudi Arabia,Bahrain,28,15,8,5
Saudi Arabia,UAE,22,13,5,4
Saudi Arabia,Iraq,29,12,8,9
Saudi Arabia,Indonesia,15,12,2,1
Saudi Arabia,Kuwait,29,11,8,10
Saudi Arabia,Thailand,13,11,2,0
Saudi Arabia,China,22,10,5,7
Saudi Arabia,Oman,16,10,2,4
Saudi Arabia,Qatar,25,8,11,6
Saudi Arabia,Uzbekistan,12,7,1,4
Saudi Arabia,Syria,11,7,2,2
Saudi Arabia,Singapore,8,7,1,0
Saudi Arabia,Malaysia,10,7,2,1
Saudi Arabia,Iran,15,6,4,5
Saudi Arabia,Japan,18,5,2,11
Saudi Arabia,Lebanon,7,5,1,1
Saudi Arabia,South Korea,17,5,5,7
Saudi Arabia,India,5,5,0,0
Saudi Arabia,Bangladesh,5,5,0,0
Saudi Arabia,North Korea,9,5,2,2
Saudi Arabia,Hong Kong,5,5,0,0
Saudi Arabia,Vietnam,4,4,0,0
Saudi Arabia,New Zealand,7,4,1,2
Saudi Arabia,Jordan,10,4,1,5
Saudi Arabia,Iceland,6,3,2,1
Saudi Arabia,Algeria,6,3,2,1
Saudi Arabia,Zambia,5,3,1,1
Saudi Arabia,Kyrgyzstan,3,3,0,0
Saudi Arabia,Turkmenistan,4,3,1,0
Saudi Arabia,Sri Lanka,3,3,0,0
Saudi Arabia,Palestine,8,3,5,0
Saudi Arabia,Australia,12,2,4,6
Saudi Arabia,Senegal,2,2,0,0
Saudi Arabia,USA,8,2,2,4
Saudi Arabia,Namibia,2,2,0,0
Saudi Arabia,Afghanistan,2,2,0,0
Saudi Arabia,Tunisia,7,2,1,4
Saudi Arabia,Jamaica,5,2,1,2
Saudi Arabia,Egypt,7,2,1,4
Saudi Arabia,Togo,2,2,0,0
Saudi Arabia,North Macedonia,3,2,1,0
Saudi Arabia,Kazakhstan,2,2,0,0
Saudi Arabia,Tajikistan,3,2,1,0
Saudi Arabia,Pakistan,2,2,0,0
Saudi Arabia,Chinese Taipei,2,2,0,0
Saudi Arabia,Mongolia,2,2,0,0
Saudi Arabia,Bhutan,2,2,0,0
Saudi Arabia,Macau,2,2,0,0
Saudi Arabia,Timor-Leste,2,2,0,0
Saudi Arabia,Greece,3,1,1,1
Saudi Arabia,Belgium,3,1,0,2
Saudi Arabia,Bulgaria,3,1,0,2
Saudi Arabia,Cameroon,2,1,0,1
Saudi Arabia,Argentina,5,1,2,2
Saudi Arabia,Ghana,4,1,2,1
Saudi Arabia,Finland,3,1,1,1
Saudi Arabia,Russia,2,1,0,1
Saudi Arabia,Uruguay,3,1,1,1
Saudi Arabia,Canada,1,1,0,0
Saudi Arabia,Latvia,1,1,0,0
Saudi Arabia,Morocco,3,1,0,2
Saudi Arabia,Luxembourg,1,1,0,0
Saudi Arabia,Ivory Coast,1,1,0,0
Saudi Arabia,Mali,4,1,1,2
Saudi Arabia,Congo,1,1,0,0
Saudi Arabia,South Africa,4,1,2,1
Saudi Arabia,DR Congo,1,1,0,0
Saudi Arabia,Gabon,2,1,0,1
Saudi Arabia,Moldova,2,1,0,1
Saudi Arabia,Estonia,3,1,1,1
Saudi Arabia,The Gambia,1,1,0,0
Saudi Arabia,Trinidad,3,1,1,1
Saudi Arabia,Costa Rica,5,1,0,4
Saudi Arabia,Azerbaijan,1,1,0,0
Saudi Arabia,Sudan,1,1,0,0
Saudi Arabia,Equat. Guinea,1,1,0,0
Saudi Arabia,Uganda,2,1,1,0
Saudi Arabia,Haiti,1,1,0,0
Saudi Arabia,Tanzania,1,1,0,0
Saudi Arabia,Nepal,1,1,0,0
Saudi Arabia,Comoros,1,1,0,0
Saudi Arabia,Germany,3,0,0,3
Saudi Arabia,England,2,0,2,0
Saudi Arabia,Portugal,2,0,0,2
Saudi Arabia,Spain,3,0,0,3
Saudi Arabia,Italy,1,0,0,1
Saudi Arabia,France,1,0,0,1
Saudi Arabia,Netherlands,1,0,0,1
Saudi Arabia,Scotland,1,0,1,0
Saudi Arabia,Turkiye,3,0,0,3
Saudi Arabia,Denmark,3,0,0,3
Saudi Arabia,Brazil,5,0,0,5
Saudi Arabia,Norway,1,0,0,1
Saudi Arabia,Poland,4,0,0,4
Saudi Arabia,Nigeria,2,0,2,0
Saudi Arabia,Czechia,2,0,1,1
Saudi Arabia,Belarus,1,0,1,0
Saudi Arabia,Hungary,2,0,2,0
Saudi Arabia,Slovakia,1,0,1,0
Saudi Arabia,Venezuela,2,0,0,2
Saudi Arabia,Ireland,1,0,0,1
Saudi Arabia,Croatia,1,0,0,1
Saudi Arabia,Sweden,3,0,1,2
Saudi Arabia,Panama,1,0,1,0
Saudi Arabia,Paraguay,2,0,2,0
Saudi Arabia,Zimbabwe,1,0,0,1
Saudi Arabia,Peru,1,0,0,1
Saudi Arabia,Slovenia,1,0,0,1
Saudi Arabia,Cyprus,1,0,1,0
Saudi Arabia,Georgia,1,0,0,1
Saudi Arabia,Ukraine,2,0,1,1
Saudi Arabia,Chile,2,0,1,1
Saudi Arabia,Colombia,1,0,0,1
Saudi Arabia,Wales,1,0,0,1
Saudi Arabia,Bolivia,3,0,2,1
Saudi Arabia,Liechtenstein,1,0,0,1
Saudi Arabia,Ecuador,1,0,1,0
Saudi Arabia,Mexico,7,0,1,6
Saudi Arabia,Libya,2,0,0,2
Algeria,Tunisia,32,12,11,9
Algeria,Senegal,21,11,5,5
Algeria,Nigeria,18,9,1,8
Algeria,Niger,11,9,1,1
Algeria,Egypt,18,8,6,4
Algeria,Mali,15,8,2,5
Algeria,Ivory Coast,16,7,5,4
Algeria,Burkina Faso,20,7,7,6
Algeria,Libya,9,7,1,1
Algeria,Uganda,8,7,1,0
Algeria,Rwanda,8,6,2,0
Algeria,Guinea,16,6,5,5
Algeria,Benin,7,6,0,1
Algeria,Zambia,12,5,3,4
Algeria,Tanzania,9,5,4,0
Algeria,Namibia,4,4,0,0
Algeria,Morocco,20,4,8,8
Algeria,Togo,6,4,0,2
Algeria,Mozambique,5,4,0,1
Algeria,The Gambia,8,4,2,2
Algeria,Sudan,7,4,2,1
Algeria,Ethiopia,7,4,2,1
Algeria,Mauritania,5,4,0,1
Algeria,Botswana,4,4,0,0
Algeria,Ghana,8,3,2,3
Algeria,Cape Verde,6,3,2,1
Algeria,Malawi,6,3,1,2
Algeria,Liberia,5,3,2,0
Algeria,Burundi,4,3,1,0
Algeria,Qatar,5,3,1,1
Algeria,Oman,3,3,0,0
Algeria,Germany,3,2,0,1
Algeria,Turkiye,3,2,0,1
Algeria,Cameroon,11,2,3,6
Algeria,Romania,5,2,2,1
Algeria,Seychelles,2,2,0,0
Algeria,Iran,5,2,0,3
Algeria,Zimbabwe,7,2,4,1
Algeria,Malta,3,2,1,0
Algeria,DR Congo,6,2,4,0
Algeria,UAE,6,2,2,2
Algeria,Sierra Leone,4,2,2,0
Algeria,Kenya,4,2,0,2
Algeria,Central Africa,3,2,0,1
Algeria,Equat. Guinea,4,2,1,1
Algeria,Lesotho,2,2,0,0
Algeria,Somalia,2,2,0,0
Algeria,Djibouti,2,2,0,0
Algeria,Bulgaria,6,1,2,3
Algeria,Finland,1,1,0,0
Algeria,Uruguay,1,1,0,0
Algeria,Ireland,2,1,0,1
Algeria,Iraq,5,1,2,2
Algeria,Angola,8,1,6,1
Algeria,Lebanon,3,1,2,0
Algeria,Slovenia,2,1,0,1
Algeria,South Korea,2,1,0,1
Algeria,Chile,1,1,0,0
Algeria,PR Congo,2,1,1,0
Algeria,South Africa,6,1,4,1
Algeria,Saudi Arabia,6,1,2,3
Algeria,Colombia,1,1,0,0
Algeria,Bolivia,1,1,0,0
Algeria,Gabon,7,1,2,4
Algeria,Armenia,1,1,0,0
Algeria,Bahrain,2,1,1,0
Algeria,Syria,1,1,0,0
Algeria,Indonesia,1,1,0,0
Algeria,Chad,2,1,1,0
Algeria,Madagascar,1,1,0,0
Algeria,Zaire,1,1,0,0
Algeria,England,1,0,1,0
Algeria,Portugal,1,0,0,1
Algeria,Spain,1,0,0,1
Algeria,Italy,1,0,0,1
Algeria,France,1,0,0,1
Algeria,Belgium,3,0,1,2
Algeria,Austria,1,0,0,1
Algeria,Switzerland,2,0,0,2
Algeria,Kuwait,1,0,0,1
Algeria,Denmark,1,0,1,0
Algeria,Argentina,1,0,0,1
Algeria,Serbia,1,0,0,1
Algeria,Brazil,4,0,0,4
Algeria,Poland,2,0,0,2
Algeria,Bosnia,1,0,0,1
Algeria,Russia,1,0,1,0
Algeria,Hungary,1,0,0,1
Algeria,Slovakia,1,0,1,0
Algeria,USA,1,0,0,1
Algeria,Sweden,6,0,1,5
Algeria,Albania,1,0,0,1
Algeria,Luxembourg,1,0,1,0
Algeria,Peru,1,0,1,0
Algeria,China,1,0,0,1
Algeria,N. Ireland,1,0,1,0
Algeria,Mexico,2,0,1,1
Algeria,North Korea,1,0,0,1
Algeria,Jordan,1,0,1,0
Algeria,Malaysia,1,0,1,0
Algeria,East Germany,4,0,1,3
Algeria,USSR,2,0,1,1
Algeria,Yugoslavia,1,0,0,1
Algeria,USSR,4,0,0,4
Argentina,Uruguay,195,90,45,60
Argentina,Chile,69,47,19,3
Argentina,Brazil,110,42,23,45
Argentina,Bolivia,42,30,5,7
Argentina,Paraguay,55,29,19,7
Argentina,Peru,44,29,10,5
Argentina,Venezuela,30,25,3,2
Argentina,Ecuador,42,25,11,6
Argentina,Colombia,42,23,9,10
Argentina,Mexico,28,16,10,2
Argentina,Germany,23,10,5,8
Argentina,Bulgaria,9,8,0,1
Argentina,France,13,7,3,3
Argentina,Australia,9,7,1,1
Argentina,Poland,12,7,2,3
Argentina,USA,11,7,2,2
Argentina,Spain,14,6,2,6
Argentina,Italy,16,6,4,6
Argentina,Japan,7,6,0,1
Argentina,Nigeria,9,6,1,2
Argentina,Portugal,8,5,1,2
Argentina,Switzerland,7,5,2,0
Argentina,Hungary,7,5,1,1
Argentina,Costa Rica,7,5,2,0
Argentina,Yugoslavia,9,5,1,3
Argentina,Netherlands,10,4,2,4
Argentina,Belgium,5,4,0,1
Argentina,Romania,7,4,2,1
Argentina,Ireland,4,4,0,0
Argentina,Jamaica,4,4,0,0
Argentina,England,14,3,5,6
Argentina,Bosnia,3,3,0,0
Argentina,Canada,3,3,0,0
Argentina,Croatia,6,3,1,2
Argentina,Morocco,3,3,0,0
Argentina,Panama,3,3,0,0
Argentina,South Korea,3,3,0,0
Argentina,Honduras,3,3,0,0
Argentina,Israel,5,3,1,1
Argentina,Guatemala,3,3,0,0
Argentina,El Salvador,4,3,1,0
Argentina,Haiti,3,3,0,0
Argentina,USSR,11,3,6,2
Argentina,Greece,2,2,0,0
Argentina,Scotland,4,2,1,1
Argentina,Russia,2,2,0,0
Argentina,Iran,2,2,0,0
Argentina,Angola,2,2,0,0
Argentina,Ivory Coast,2,2,0,0
Argentina,Egypt,2,2,0,0
Argentina,Saudi Arabia,5,2,2,1
Argentina,Qatar,2,2,0,0
Argentina,ČSR,6,2,3,1
Argentina,Austria,2,1,1,0
Argentina,Denmark,2,1,0,1
Argentina,Ghana,1,1,0,0
Argentina,Slovakia,1,1,0,0
Argentina,Sweden,3,1,1,1
Argentina,Iraq,1,1,0,0
Argentina,Albania,1,1,0,0
Argentina,Slovenia,1,1,0,0
Argentina,Algeria,1,1,0,0
Argentina,Tunisia,1,1,0,0
Argentina,South Africa,3,1,1,1
Argentina,Wales,2,1,1,0
Argentina,UAE,1,1,0,0
Argentina,N. Ireland,1,1,0,0
Argentina,Estonia,1,1,0,0
Argentina,Libya,1,1,0,0
Argentina,Trinidad,1,1,0,0
Argentina,Indonesia,1,1,0,0
Argentina,Nicaragua,1,1,0,0
Argentina,Singapore,1,1,0,0
Argentina,Hong Kong,1,1,0,0
Argentina,East Germany,2,1,1,0
Argentina,Puerto Rico,1,1,0,0
Argentina,Serbia-Mont.,1,1,0,0
Argentina,Curaçao,1,1,0,0
Argentina,Romania B,1,1,0,0
Argentina,England B,1,1,0,0
Argentina,Cameroon,2,0,1,1
Argentina,Norway,2,0,0,2
Argentina,Belarus,1,0,1,0
Argentina,Iceland,1,0,1,0
Argentina,Lithuania,1,0,1,0
Australia,New Zealand,58,38,8,12
Australia,Indonesia,17,11,4,2
Australia,South Korea,25,10,8,7
Australia,Chinese Taipei,11,10,1,0
Australia,Tahiti,10,10,0,0
Australia,China,16,9,3,4
Australia,Japan,28,7,9,12
Australia,Fiji,9,7,0,2
Australia,Solomons,8,7,1,0
Australia,Canada,10,6,1,3
Australia,Iraq,10,6,2,2
Australia,South Africa,21,6,4,11
Australia,Saudi Arabia,12,6,4,2
Australia,Thailand,7,6,1,0
Australia,Bahrain,8,6,1,1
Australia,Oman,11,6,4,1
Australia,Singapore,6,6,0,0
Australia,Malaysia,6,6,0,0
Australia,New Caledonia,6,6,0,0
Australia,Kuwait,10,5,1,4
